district,land_area_km2,population_est,existing_chargers,recommended_chargers,baseline_coverage_5_pct,after_coverage_5_pct,improvement_5_pp,baseline_population_coverage_5_pct,after_population_coverage_5_pct,population_improvement_5_pp,baseline_coverage_10_pct,after_coverage_10_pct,improvement_10_pp,baseline_population_coverage_10_pct,after_population_coverage_10_pct,population_improvement_10_pp,baseline_coverage_15_pct,after_coverage_15_pct,improvement_15_pp,baseline_population_coverage_15_pct,after_population_coverage_15_pct,population_improvement_15_pp,baseline_mean_min_capped30,after_mean_min_capped30,baseline_median_min_capped30,after_median_min_capped30,baseline_p90_min_capped30,after_p90_min_capped30,baseline_unreachable_pct,after_unreachable_pct
Pirallahı,60.85217427435613,16738.97772245991,0,1,0.0,5.683922293529048,5.683922293529048,0.0,11.214408102229688,11.214408102229688,0.0,31.961448079470074,31.961448079470074,0.0,60.70418278425181,60.70418278425181,0.0,49.82556122596692,49.82556122596692,0.0,87.95736769353495,87.95736769353495,29.602835586323145,19.37344232256649,30.0,28.293704201754444,30.0,30.0,19.81265898840781,19.81265898840781
Qaradağ,1049.8219125003488,161888.1464968535,1,4,0.5893856783064569,5.472107116117098,4.882721437810641,2.2639019200354413,19.449572516551246,17.185670596515806,5.1087164213770455,23.10966283108966,18.000946409712615,20.88950466797225,70.40926204303116,49.519757375058916,13.58062298112376,44.432604295349456,30.851981314225696,45.40407787001565,96.32736722829131,50.92328935827566,24.655030125182055,20.016903709047863,30.0,22.114233018843738,30.0,30.0,15.231754883443134,15.159711270361736
Sabunçu,200.76762011944487,393458.4572331751,1,1,3.490837708280912,18.477445274917503,14.986607566636591,1.7393435433422701,22.174878902018936,20.435535358676667,21.88312951045173,64.05959122706439,42.17646171661266,25.04404275885829,69.20567414179854,44.16163138294025,56.62704839711518,98.82014602948766,42.19309763237248,62.33784493844454,99.86642386030145,37.52857892185691,13.807450820855106,8.513624641455422,14.185648538592002,8.789803059895833,19.303159115144883,12.665957641601562,0.2801746614645059,0.2801746614645059
Xəzər,330.96022429843225,244165.95406274896,2,2,1.3596800067256047,11.708689143034494,10.34900913630889,1.0725204717567391,12.069985537493979,10.99746506573724,9.857680048582017,56.690494846786045,46.832814798204026,18.068987150243498,65.85786559240066,47.788878442157156,34.87114598898234,93.69031402542748,58.81916803644514,65.67092519958332,99.38549431459359,33.71456911501026,19.560701893525913,10.049905991787092,18.45762975338577,9.281229654947916,30.0,14.116912841796875,0.4498795886433873,0.4498795886433873
Suraxanı,128.8239470592564,226089.74584421975,0,1,0.0,6.637894784354259,6.637894784354259,0.0,3.648537866836716,3.648537866836716,24.888617916669585,57.16427556140402,32.27565764473444,22.50868649193955,46.35780762895718,23.849121137017633,68.0680807526921,99.56335757998373,31.495276827291633,83.51172410568161,99.00605993625757,15.494335830575963,13.044486361237913,9.373611325698999,12.404036083460765,9.514376831054687,18.44037932038852,12.92560526529948,0.0,0.0
Binəqədi,91.38268934209587,335440.91204151814,5,1,13.541952079866615,21.709108112353675,8.16715603248706,27.458131135441946,33.79012844578479,6.331997310342842,72.22048845998486,84.08163029978591,11.86114183980105,85.5182758568632,95.97782391319974,10.459548056336544,85.82259850911312,98.91482690162931,13.09222839251619,89.41606555634966,99.98188316452722,10.565817608177554,9.115202819726983,7.23817856142583,8.096764036405236,7.42745307481868,16.92948567360421,10.471128750848205,0.0,0.0
Yasamal,16.312499999394696,223169.85615926236,0,0,65.5172413780308,65.5172413780308,0.0,80.16748939501917,80.16748939501917,0.0,96.55172413780309,96.55172413780309,0.0,97.40227727155695,97.40227727155695,0.0,96.55172413780309,96.55172413780309,0.0,97.40227727155695,97.40227727155695,0.0,5.270380672642284,5.270380672642284,4.181573756198667,4.181573756198667,8.389875717253599,8.389875717253599,3.44827586219692,3.44827586219692
Nizami,19.124999987818253,206285.8314499855,0,0,2.94117647246163,2.94117647246163,0.0,3.2349505339808133,3.2349505339808133,0.0,64.70588237027242,64.70588237027242,0.0,66.88296243649413,66.88296243649413,0.0,97.05882352753837,97.05882352753837,0.0,98.24762689560237,98.24762689560237,0.0,9.846635024142106,9.846635024142106,9.66865272153302,9.66865272153302,11.682371285007497,11.682371285007497,2.94117647246163,2.94117647246163
Xətai,30.662821950417992,291280.043731533,0,0,14.858405749081939,14.858405749081939,0.0,18.82387856662425,18.82387856662425,0.0,49.341379195221286,49.341379195221286,0.0,51.31813903456795,51.31813903456795,0.0,97.09242208312003,99.65431517042632,2.561893087306288,99.13595282631425,99.88609387442837,0.7501410481141164,9.478212062218326,9.30659285018307,10.074079293694092,10.074079293694092,13.349167486126378,12.740120547498382,0.0,0.0
Nərimanov,21.374999999674188,215382.50667136908,1,0,68.42105263262187,68.42105263262187,0.0,80.25734751293007,80.25734751293007,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,4.327785067755688,4.327785067755688,4.043507623437248,4.043507623437248,7.256913093892632,7.256913093892632,0.0,0.0
Nəsimi,10.082790738455742,217525.43397426605,6,0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,2.356178744153106,2.356178744153106,1.9232818961655842,1.9232818961655842,3.4553220076941313,3.4553220076941313,0.0,0.0
Səbail,28.725799065532435,115982.42490333598,2,0,24.902379160757942,24.902379160757942,0.0,45.613257304071944,45.613257304071944,0.0,75.33582469619807,82.01364644150159,6.677821745303518,89.50445457648314,93.17808219482941,3.6736276183462735,100.0,100.0,0.0,100.0,100.0,0.0,7.2208069407031505,7.059216975734846,7.613057234159819,7.613057234159819,10.780409098292036,10.596173379455808,0.0,0.0
